file,rows_after_first_line,encoding_read,first_line_fields
cge/equilibria_final/fiveyear_2050/B/macro.csv,144,utf-8-sig,grid | scenario | year | region | real_GDP | real_consumption | real_investment | nominal_investment | real_exports | real_imports | total_CO2 | power_CO2 | fossil_energy_Mtoe | carbon_price_2017USD_t | carbon_increment_2024USD_t | carbon_revenue | log_utility | log_unit_expenditure | generation_TWh | renewable_generation_TWh | renewable_capacity_proxy_GW | electricity_price_index | carbon_match_status | macro_productivity
cge/equilibria_final/fiveyear_2050/B/power.csv,1152,utf-8-sig,grid | scenario | year | region | technology | generation_TWh | capacity_proxy_GW | capacity_status | reference_CF | generation_price_2024USD_MWh | capital_efficiency | labor_efficiency | capital_service_expenditure | preference
cge/equilibria_final/fiveyear_2050/B/solve_diagnostics.csv,33,utf-8-sig,grid | scenario | year | stage | status | residual | seconds | requested_tolerance
cge/equilibria_final/fiveyear_2050/C/accounting.csv,144,utf-8-sig,grid | scenario | year | region | household | government | investment | capital | labor | carbon_revenue | walras | foreign_saving | max_absolute_gap
cge/equilibria_final/fiveyear_2050/C/capital_transitions.csv,126,utf-8-sig,grid | scenario | year | next_year | region | interval_years | opening_stock | annual_real_investment | survival | investment_annuity | next_stock | identity_residual
cge/equilibria_final/fiveyear_2050/C/completion.csv,1,utf-8-sig,grid | scenario | last_year | complete | MCP_residual | global_CO2 | global_RE_capacity_proxy_GW
cge/equilibria_final/fiveyear_2050/C/macro.csv,144,utf-8-sig,grid | scenario | year | region | real_GDP | real_consumption | real_investment | nominal_investment | real_exports | real_imports | total_CO2 | power_CO2 | fossil_energy_Mtoe | carbon_price_2017USD_t | carbon_increment_2024USD_t | carbon_revenue | log_utility | log_unit_expenditure | generation_TWh | renewable_generation_TWh | renewable_capacity_proxy_GW | electricity_price_index | carbon_match_status | macro_productivity
cge/equilibria_final/fiveyear_2050/C/power.csv,1152,utf-8-sig,grid | scenario | year | region | technology | generation_TWh | capacity_proxy_GW | capacity_status | reference_CF | generation_price_2024USD_MWh | capital_efficiency | labor_efficiency | capital_service_expenditure | preference
cge/equilibria_final/fiveyear_2050/C/solve_diagnostics.csv,33,utf-8-sig,grid | scenario | year | stage | status | residual | seconds | requested_tolerance
cge/equilibria_final/fiveyear_2050/capacity_policy_selected.csv,1,utf-8-sig,additional_price_2024USD_t | target_GW | capacity_GW | gap_GW | status
cge/equilibria_final/fiveyear_2050/capacity_price_search.csv,8,utf-8-sig,run_id | additional_price_2024USD_t | capacity_GW | gap_GW
cge/equilibria_final/fiveyear_2050/emissions_checks.csv,108,utf-8-sig,scenario | year | region | total_CO2_Mt | power_CO2_Mt | identity_gap
cge/equilibria_final/fiveyear_2050/energy_balances.csv,2160,utf-8-sig,scenario | year | region | fuel | household_Mtoe | nonenergy_industries_Mtoe | energy_industries_Mtoe | power_sector_Mtoe | modeled_final_demand_Mtoe
cge/equilibria_final/fiveyear_2050/household_consumption.csv,1620,utf-8-sig,scenario | year | region | good | quantity | consumer_price | expenditure_2024USD_bn | real_consumption_2024USD_bn
cge/equilibria_final/fiveyear_2050/household_incomes.csv,108,utf-8-sig,scenario | year | region | household_income | household_savings | labor_income | household_capital_income | land_income | resource_income | government_income | carbon_revenue | expenditure_gap
cge/equilibria_final/fiveyear_2050/input_audit.csv,432,utf-8-sig,scenario | year | region | pv_tfp | wind_tfp | macro_tfp | calibrate_gdp | calibrate_power | calibrate_capacity
cge/equilibria_final/fiveyear_2050/macro_extras.csv,432,utf-8-sig,scenario | year | region | wage | household_price_index | government_income | exports_FOB | imports_CIF | foreign_saving | capital_return
cge/equilibria_final/fiveyear_2050/power_emissions.csv,972,utf-8-sig,scenario | year | region | technology | CO2_Mt
cge/equilibria_final/fiveyear_2050/sector.csv,6480,utf-8-sig,scenario | year | region | sector | real_output | labor_demand | capital_demand
cge/equilibria_final/fiveyear_2050/sector_emissions.csv,1728,utf-8-sig,scenario | year | region | sector | CO2_Mt
cge/inputs/country_tfp_history.csv,375,utf-8-sig,technology | iso3 | year | weight | observed | procurement_model | other_cost_fitted | other_cost_observed | model_factual | Q | Q_ratio | beta_B | G_level_gap | G_anchor | B_fit_outside_year_range | P_direct | S_share | T_cn_tariff | K_spillover | G_other | china_contribution_since_2010 | model_without_china_contribution | observed_completed | observation_imputed | completion_method | region | country_name | cost_actual | cost_cf | capacity_weight_MW | tfp_start_year | alpha | annual_cost_reduction_actual | tfp_growth_factor_actual | tfp_growth_rate_actual | tfp_raw_actual | annual_cost_reduction_cf | tfp_growth_factor_cf | tfp_growth_rate_cf | tfp_raw_cf | tfp_actual | tfp_cf | tfp_multiplier | target | target_name | excluded_target_receiver | TIC | X | B | Q_global | Q_cf | p_beta_B | B_fitted | B_cf | B_deployment_gap | B_cf_fitted | B_fitted_gap | X_cf | equipment_gap_inclusive | equipment_gap_target_origin | equipment_gap_other_origins | TIC_cf | total_deployment_gap | deployment_gap_pct_of_TIC | balance_gap_pct_of_TIC | cf_Q_below_balance_fit_range | annual_cost_interpolated | B_cf_fixed | TIC_cf_equipment_only | scenario_scope
cge/inputs/dynamic_paths.csv,612,utf-8-sig,region | year | GDP_target | population_multiplier
cge/inputs/physical_benchmark.csv,144,utf-8-sig,region | year | technology | capacity_GW | status | onshore_fraction | generation_TWh | capacity_factor | CF_domain_valid
cge/inputs/power_targets.csv,2016,utf-8-sig,baseline | region | technology | year | target_capacity_GW | reference_CF | target_generation_TWh | status
cge/inputs/regional_tfp_paths.csv,1224,utf-8-sig,year | source_year | region | technology | baseline_tfp | cf_tfp | tfp_multiplier | alpha | mapping_status | countries
cge/model/input/dyn/long-term/GDP_SSPN.csv,18,utf-8-sig,RegGrid | gr2020 | gr2025 | gr2030 | gr2035 | gr2040 | gr2045 | gr2050 | gr2055 | gr2060 | gr2065 | gr2070 | gr2075 | gr2080 | gr2085 | gr2090 | gr2095 | gr2100
cge/model/input/dyn/long-term/lambdae_2100.csv,3,utf-8-sig,RegGrid | gr2020 | gr2025 | gr2030 | gr2035 | gr2040 | gr2045 | gr2050 | gr2055 | gr2060 | gr2065 | gr2070 | gr2075 | gr2080 | gr2085 | gr2090 | gr2095 | gr2100
cge/model/input/dyn/long-term/POP_SSP2.csv,18,utf-8-sig,RegGrid | gr2020 | gr2025 | gr2030 | gr2035 | gr2040 | gr2045 | gr2050 | gr2055 | gr2060 | gr2065 | gr2070 | gr2075 | gr2080 | gr2085 | gr2090 | gr2095 | gr2100
cge/model/input/dyn/long-term/TFP_BAU.csv,18,utf-8-sig,x1 | x2 | x3 | x4 | x5 | x6 | x7 | x8 | x9 | x10
cge/model/input/dyn/short-term/GDP_2035_r18_new.csv,18,utf-8-sig,RegAgg | gr2017 | gr2018 | gr2019 | gr2020 | gr2021 | gr2022 | gr2023 | gr2024 | gr2025 | gr2026 | gr2027 | gr2028 | gr2029 | gr2030 | gr2031 | gr2032 | gr2033 | gr2034
cge/model/input/dyn/short-term/POP_2035_r18_new.csv,18,utf-8-sig,RegAgg | gr2017 | gr2018 | gr2019 | gr2020 | gr2021 | gr2022 | gr2023 | gr2024 | gr2025 | gr2026 | gr2027 | gr2028 | gr2029 | gr2030 | gr2031 | gr2032 | gr2033 | gr2034
cge/model/input/dyn/short-term/TFP_2035_new.csv,18,utf-8-sig,x1 | x2 | x3 | x4 | x5 | x6 | x7 | x8 | x9 | x10 | x11 | x12 | x13 | x14
cge/model/input/elas/etah_s15.csv,15,utf-8-sig,SecGrid | etah | gammah
cge/model/input/elas/frish_par.csv,18,utf-8-sig,RegGrid | 2020 | gdppc | frish
cge/model/input/elas/gammahr18s15.csv,15,utf-8-sig,SecGrid | Australia_Oceania | China | Japan | South Korea | Rest of World | Southeast Asia | Central Asia | India | Canada | United States | Rest of America | Brazil | EU | Eastern Europe | Russia | North Africa | Central and Southern Africa | South Africa
cge/model/input/elec/elecd.csv,16,utf-8-sig, | Oceania | Oceania | Oceania | Oceania | Oceania | Oceania | Oceania | Oceania | Oceania | China | China | China | China | China | China | China | China | China | Japan | Japan | Japan | Japan | Japan | Japan | Japan | Japan | Japan | SKorea | SKorea | SKorea | SKorea | SKorea | SKorea | SKorea | SKorea | SKorea | ROW | ROW | ROW | ROW | ROW | ROW | ROW | ROW | ROW | SEA | SEA | SEA | SEA | SEA | SEA | SEA | SEA | SEA | CWS | CWS | CWS | CWS | CWS | CWS | CWS | CWS | CWS | India | India | India | India | India | India | India | India | India | Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada | US | US | US | US | US | US | US | US | US | RAM | RAM | RAM | RAM | RAM | RAM | RAM | RAM | RAM | Brazil | Brazil | Brazil | Brazil | Brazil | Brazil | Brazil | Brazil | Brazil | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EEuro | EEuro | EEuro | EEuro | EEuro | EEuro | EEuro | EEuro | EEuro | Russia | Russia | Russia | Russia | Russia | Russia | Russia | Russia | Russia | NAF | NAF | NAF | NAF | NAF | NAF | NAF | NAF | NAF | SSAF | SSAF | SSAF | SSAF | SSAF | SSAF | SSAF | SSAF | SSAF | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica
cge/model/input/elec/elecf.csv,16,utf-8-sig, | Oceania | Oceania | Oceania | Oceania | Oceania | Oceania | Oceania | Oceania | Oceania | China | China | China | China | China | China | China | China | China | Japan | Japan | Japan | Japan | Japan | Japan | Japan | Japan | Japan | SKorea | SKorea | SKorea | SKorea | SKorea | SKorea | SKorea | SKorea | SKorea | ROW | ROW | ROW | ROW | ROW | ROW | ROW | ROW | ROW | SEA | SEA | SEA | SEA | SEA | SEA | SEA | SEA | SEA | CWS | CWS | CWS | CWS | CWS | CWS | CWS | CWS | CWS | India | India | India | India | India | India | India | India | India | Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada | US | US | US | US | US | US | US | US | US | RAM | RAM | RAM | RAM | RAM | RAM | RAM | RAM | RAM | Brazil | Brazil | Brazil | Brazil | Brazil | Brazil | Brazil | Brazil | Brazil | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EEuro | EEuro | EEuro | EEuro | EEuro | EEuro | EEuro | EEuro | EEuro | Russia | Russia | Russia | Russia | Russia | Russia | Russia | Russia | Russia | NAF | NAF | NAF | NAF | NAF | NAF | NAF | NAF | NAF | SSAF | SSAF | SSAF | SSAF | SSAF | SSAF | SSAF | SSAF | SSAF | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica
cge/model/input/elec/gen.csv,8,utf-8-sig, | Oceania | China | Japan | SKorea | ROW | SEA | CWS | India | Canada | US | RAM | Brazil | EUPlus | EEuro | Russia | NAF | SSAF | SAfrica
cge/model/input/elec/gen_elec_diff_data.csv,504,utf-8-sig, |  | TnD | Coal_Power | Oil_Power | Gas_Power | Nuclear | Hydro | Wind | Solar | Biomass
cge/model/input/elec/gen_elec_psy_2016.csv,9,utf-8-sig," | Australia_Oceania | China | Japan | South Korea | Rest of World | Southeast Asia | Central, Western and South Asia | India | Canada | United States | Rest of America | Brazil | EUPlus | Eastern Europe | Russia | North Africa | Sub Saharan | South Africa"
cge/model/input/elec/gen_elec_psy_2017.csv,9,utf-8-sig," | Australia_Oceania | China | Japan | South Korea | Rest of World | Southeast Asia | Central, Western and South Asia | India | Canada | United States | Rest of America | Brazil | EUPlus | Eastern Europe | Russia | North Africa | Sub Saharan | South Africa"
cge/model/input/elec/gen_elec_psy_2020.csv,9,utf-8-sig," | Australia_Oceania | China | Japan | South Korea | Rest of World | Southeast Asia | Central, Western and South Asia | India | Canada | United States | Rest of America | Brazil | EUPlus | Eastern Europe | Russia | North Africa | Sub Saharan | South Africa"
cge/model/input/elec/prodtax_elec.csv,9,utf-8-sig, | Oceania | China | Japan | SKorea | ROW | SEA | CWS | India | Canada | US | RAM | Brazil | EUPlus | EEuro | Russia | NAF | SSAF | SAfrica
cge/model/input/elec/vaelec.csv,6,utf-8-sig, | Oceania | Oceania | Oceania | Oceania | Oceania | Oceania | Oceania | Oceania | Oceania | China | China | China | China | China | China | China | China | China | Japan | Japan | Japan | Japan | Japan | Japan | Japan | Japan | Japan | SKorea | SKorea | SKorea | SKorea | SKorea | SKorea | SKorea | SKorea | SKorea | ROW | ROW | ROW | ROW | ROW | ROW | ROW | ROW | ROW | SEA | SEA | SEA | SEA | SEA | SEA | SEA | SEA | SEA | CWS | CWS | CWS | CWS | CWS | CWS | CWS | CWS | CWS | India | India | India | India | India | India | India | India | India | Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada | US | US | US | US | US | US | US | US | US | RAM | RAM | RAM | RAM | RAM | RAM | RAM | RAM | RAM | Brazil | Brazil | Brazil | Brazil | Brazil | Brazil | Brazil | Brazil | Brazil | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EEuro | EEuro | EEuro | EEuro | EEuro | EEuro | EEuro | EEuro | EEuro | Russia | Russia | Russia | Russia | Russia | Russia | Russia | Russia | Russia | NAF | NAF | NAF | NAF | NAF | NAF | NAF | NAF | NAF | SSAF | SSAF | SSAF | SSAF | SSAF | SSAF | SSAF | SSAF | SSAF | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica
cge/model/input/elec/vatax_elec.csv,6,utf-8-sig, | Oceania | Oceania | Oceania | Oceania | Oceania | Oceania | Oceania | Oceania | Oceania | China | China | China | China | China | China | China | China | China | Japan | Japan | Japan | Japan | Japan | Japan | Japan | Japan | Japan | SKorea | SKorea | SKorea | SKorea | SKorea | SKorea | SKorea | SKorea | SKorea | ROW | ROW | ROW | ROW | ROW | ROW | ROW | ROW | ROW | SEA | SEA | SEA | SEA | SEA | SEA | SEA | SEA | SEA | CWS | CWS | CWS | CWS | CWS | CWS | CWS | CWS | CWS | India | India | India | India | India | India | India | India | India | Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada | US | US | US | US | US | US | US | US | US | RAM | RAM | RAM | RAM | RAM | RAM | RAM | RAM | RAM | Brazil | Brazil | Brazil | Brazil | Brazil | Brazil | Brazil | Brazil | Brazil | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EEuro | EEuro | EEuro | EEuro | EEuro | EEuro | EEuro | EEuro | EEuro | Russia | Russia | Russia | Russia | Russia | Russia | Russia | Russia | Russia | NAF | NAF | NAF | NAF | NAF | NAF | NAF | NAF | NAF | SSAF | SSAF | SSAF | SSAF | SSAF | SSAF | SSAF | SSAF | SSAF | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica
cge/model/input/ene/ehd.csv,5,utf-8-sig, | Oceania | China | Japan | SKorea | ROW | SEA | CWS | India | Canada | US | RAM | Brazil | EUPlus | EEuro | Russia | NAF | SSAF | SAfrica
cge/model/input/ene/ehf.csv,5,utf-8-sig, | Oceania | China | Japan | SKorea | ROW | SEA | CWS | India | Canada | US | RAM | Brazil | EUPlus | EEuro | Russia | NAF | SSAF | SAfrica
cge/model/input/ene/eimrr.csv,90,utf-8-sig, |  | Oceania | China | Japan | SKorea | ROW | SEA | CWS | India | Canada | US | RAM | Brazil | EUPlus | EEuro | Russia | NAF | SSAF | SAfrica
cge/model/input/ene/eintd.csv,75,utf-8-sig, |  | Oceania | China | Japan | SKorea | ROW | SEA | CWS | India | Canada | US | RAM | Brazil | EUPlus | EEuro | Russia | NAF | SSAF | SAfrica
cge/model/input/ene/eintf.csv,75,utf-8-sig, |  | Oceania | China | Japan | SKorea | ROW | SEA | CWS | India | Canada | US | RAM | Brazil | EUPlus | EEuro | Russia | NAF | SSAF | SAfrica
cge/model/input/ene/emis_hd.csv,4,utf-8-sig, | Oceania | China | Japan | SKorea | ROW | SEA | CWS | India | Canada | US | RAM | Brazil | EUPlus | EEuro | Russia | NAF | SSAF | SAfrica
cge/model/input/ene/emis_hf.csv,4,utf-8-sig, | Oceania | China | Japan | SKorea | ROW | SEA | CWS | India | Canada | US | RAM | Brazil | EUPlus | EEuro | Russia | NAF | SSAF | SAfrica
cge/model/input/ene/emis_intd.csv,60,utf-8-sig, |  | Oceania | China | Japan | SKorea | ROW | SEA | CWS | India | Canada | US | RAM | Brazil | EUPlus | EEuro | Russia | NAF | SSAF | SAfrica
cge/model/input/ene/emis_intf.csv,60,utf-8-sig, |  | Oceania | China | Japan | SKorea | ROW | SEA | CWS | India | Canada | US | RAM | Brazil | EUPlus | EEuro | Russia | NAF | SSAF | SAfrica
cge/model/input/policy/pco2_r18.csv,19,utf-8-sig," | Australia_Oceania | China | Japan | South Korea | Rest of World | Southeast Asia | Central, Western and South Asia | India | Canada | United States | Rest of America | Brazil | EU, UK and EFTA | Eastern Europe | Russia | North Africa | Sub Saharan | South Africa"
cge/model/input/sam/capital.csv,2,utf-8-sig,idx1 | idx2 | Oceania | China | Japan | SKorea | ROW | SEA | CWS | India | Canada | US | RAM | Brazil | EUPlus | EEuro | Russia | NAF | SSAF | SAfrica
cge/model/input/sam/imrr.csv,270,utf-8-sig, |  | Oceania | China | Japan | SKorea | ROW | SEA | CWS | India | Canada | US | RAM | Brazil | EUPlus | EEuro | Russia | NAF | SSAF | SAfrica
cge/model/input/sam/inctax.csv,6,utf-8-sig, | Oceania | Oceania | Oceania | Oceania | Oceania | Oceania | Oceania | Oceania | Oceania | Oceania | Oceania | Oceania | Oceania | Oceania | Oceania | China | China | China | China | China | China | China | China | China | China | China | China | China | China | China | Japan | Japan | Japan | Japan | Japan | Japan | Japan | Japan | Japan | Japan | Japan | Japan | Japan | Japan | Japan | SKorea | SKorea | SKorea | SKorea | SKorea | SKorea | SKorea | SKorea | SKorea | SKorea | SKorea | SKorea | SKorea | SKorea | SKorea | ROW | ROW | ROW | ROW | ROW | ROW | ROW | ROW | ROW | ROW | ROW | ROW | ROW | ROW | ROW | SEA | SEA | SEA | SEA | SEA | SEA | SEA | SEA | SEA | SEA | SEA | SEA | SEA | SEA | SEA | CWS | CWS | CWS | CWS | CWS | CWS | CWS | CWS | CWS | CWS | CWS | CWS | CWS | CWS | CWS | India | India | India | India | India | India | India | India | India | India | India | India | India | India | India | Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada | US | US | US | US | US | US | US | US | US | US | US | US | US | US | US | RAM | RAM | RAM | RAM | RAM | RAM | RAM | RAM | RAM | RAM | RAM | RAM | RAM | RAM | RAM | Brazil | Brazil | Brazil | Brazil | Brazil | Brazil | Brazil | Brazil | Brazil | Brazil | Brazil | Brazil | Brazil | Brazil | Brazil | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EEuro | EEuro | EEuro | EEuro | EEuro | EEuro | EEuro | EEuro | EEuro | EEuro | EEuro | EEuro | EEuro | EEuro | EEuro | Russia | Russia | Russia | Russia | Russia | Russia | Russia | Russia | Russia | Russia | Russia | Russia | Russia | Russia | Russia | NAF | NAF | NAF | NAF | NAF | NAF | NAF | NAF | NAF | NAF | NAF | NAF | NAF | NAF | NAF | SSAF | SSAF | SSAF | SSAF | SSAF | SSAF | SSAF | SSAF | SSAF | SSAF | SSAF | SSAF | SSAF | SSAF | SSAF | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica
cge/model/input/sam/margin.csv,270,utf-8-sig, |  | Oceania | China | Japan | SKorea | ROW | SEA | CWS | India | Canada | US | RAM | Brazil | EUPlus | EEuro | Russia | NAF | SSAF | SAfrica
cge/model/input/sam/prodtax.csv,15,utf-8-sig, | Oceania | China | Japan | SKorea | ROW | SEA | CWS | India | Canada | US | RAM | Brazil | EUPlus | EEuro | Russia | NAF | SSAF | SAfrica
cge/model/input/sam/qfdd.csv,16,utf-8-sig, | Oceania | Oceania | Oceania | China | China | China | Japan | Japan | Japan | SKorea | SKorea | SKorea | ROW | ROW | ROW | SEA | SEA | SEA | CWS | CWS | CWS | India | India | India | Canada | Canada | Canada | US | US | US | RAM | RAM | RAM | Brazil | Brazil | Brazil | EUPlus | EUPlus | EUPlus | EEuro | EEuro | EEuro | Russia | Russia | Russia | NAF | NAF | NAF | SSAF | SSAF | SSAF | SAfrica | SAfrica | SAfrica
cge/model/input/sam/qfdf.csv,16,utf-8-sig, | Oceania | Oceania | Oceania | China | China | China | Japan | Japan | Japan | SKorea | SKorea | SKorea | ROW | ROW | ROW | SEA | SEA | SEA | CWS | CWS | CWS | India | India | India | Canada | Canada | Canada | US | US | US | RAM | RAM | RAM | Brazil | Brazil | Brazil | EUPlus | EUPlus | EUPlus | EEuro | EEuro | EEuro | Russia | Russia | Russia | NAF | NAF | NAF | SSAF | SSAF | SSAF | SAfrica | SAfrica | SAfrica
cge/model/input/sam/qintd.csv,16,utf-8-sig, | Oceania | Oceania | Oceania | Oceania | Oceania | Oceania | Oceania | Oceania | Oceania | Oceania | Oceania | Oceania | Oceania | Oceania | Oceania | China | China | China | China | China | China | China | China | China | China | China | China | China | China | China | Japan | Japan | Japan | Japan | Japan | Japan | Japan | Japan | Japan | Japan | Japan | Japan | Japan | Japan | Japan | SKorea | SKorea | SKorea | SKorea | SKorea | SKorea | SKorea | SKorea | SKorea | SKorea | SKorea | SKorea | SKorea | SKorea | SKorea | ROW | ROW | ROW | ROW | ROW | ROW | ROW | ROW | ROW | ROW | ROW | ROW | ROW | ROW | ROW | SEA | SEA | SEA | SEA | SEA | SEA | SEA | SEA | SEA | SEA | SEA | SEA | SEA | SEA | SEA | CWS | CWS | CWS | CWS | CWS | CWS | CWS | CWS | CWS | CWS | CWS | CWS | CWS | CWS | CWS | India | India | India | India | India | India | India | India | India | India | India | India | India | India | India | Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada | Canada | US | US | US | US | US | US | US | US | US | US | US | US | US | US | US | RAM | RAM | RAM | RAM | RAM | RAM | RAM | RAM | RAM | RAM | RAM | RAM | RAM | RAM | RAM | Brazil | Brazil | Brazil | Brazil | Brazil | Brazil | Brazil | Brazil | Brazil | Brazil | Brazil | Brazil | Brazil | Brazil | Brazil | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EUPlus | EEuro | EEuro | EEuro | EEuro | EEuro | EEuro | EEuro | EEuro | EEuro | EEuro | EEuro | EEuro | EEuro | EEuro | EEuro | Russia | Russia | Russia | Russia | Russia | Russia | Russia | Russia | Russia | Russia | Russia | Russia | Russia | Russia | Russia | NAF | NAF | NAF | NAF | NAF | NAF | NAF | NAF | NAF | NAF | NAF | NAF | NAF | NAF | NAF | SSAF | SSAF | SSAF | SSAF | SSAF | SSAF | SSAF | SSAF | SSAF | SSAF | SSAF | SSAF | SSAF | SSAF | SSAF | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica | SAfrica
